STT,Mã CK,Tên công ty,Sàn CK,"4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Kiểm toán, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Chưa kiểm toán, ĐVT: VND]","A. TÀI SẢN NGẮN HẠN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Nợ ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","IV. Hàng tồn kho[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","1. Doanh thu bán hàng và cung cấp dịch vụ [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","3. Doanh thu thuần về bán hàng và cung cấp dịch vụ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","III. Các khoản phải thu ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Các khoản phải thu dài hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","A. NỢ PHẢI TRẢ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Vốn chủ sở hữu[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","II. Tài sản cố định[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG NGUỒN VỐN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","11. Lợi nhuận sau thuế chưa phân phối[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG TÀI SẢN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","   Trong đó :Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Khấu hao TSCĐ và BĐSĐT[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Giá vốn hàng bán/Doanh thu thuần[Năm: 2021, ĐVT: %]","Tỷ số thanh toán nhanh[Năm: 2021, ĐVT: Lần]","Tỷ số thanh toán hiện hành (ngắn hạn)[Năm: 2021, ĐVT: Lần]","Khả năng thanh toán lãi vay[Năm: 2021, ĐVT: Lần]","Tăng trưởng  doanh thu thuần[Năm: 2021, ĐVT: %]","Tăng trưởng tổng tài sản[Năm: 2021, ĐVT: %]","Tăng trưởng vốn chủ sở hữu[Năm: 2021, ĐVT: %]","Tăng trưởng lợi nhuận trước thuế [Năm: 2021, ĐVT: %]","Tăng trưởng  lợi nhuận gộp[Năm: 2021, ĐVT: %]","Lợi nhuận trước thuế và lãi vay (EBIT)[Năm: 2021, ĐVT: đồng]","Lợi nhuận trước thuế, lãi vay và khấu hao (EBITDA)[Năm: 2021, ĐVT: đồng]","Tỷ số dòng tiền HĐKD trên doanh thu thuần[Năm: 2021, ĐVT: %]",Ngành NAICS cấp 1,Ngày giao dịch đầu tiên
408,DLM,CTCP Chiếu sáng công cộng Đà Nẵng,UPCOM,"54,905,384,632 ","54,905,384,632 ",,"46,493,885,334 ","34,405,387,972 ","13,558,506,638 ","73,633,740,476 ","73,633,740,476 ","31,707,659,960 ",,"34,405,387,972 ","18,765,716,372 ","6,286,277,614 ","53,171,104,344 ","2,064,770,143 ","53,171,104,344 ","222,764,577 ",,,74.57 ,0.96 ,1.35 ,13.41 ,(12.27),25.42 ,2.14 ,26.92 ,6.43 ,"2,986,348,631 ","4,410,774,031 ",(27.27),Xây dựng và Bất động sản,06-01-2023
409,DLR,CTCP Địa ốc Đà Lạt,UPCOM,"5,441,321,928 ","5,441,321,928 ","5,226,366,187 ","25,392,679,148 ","71,378,438,255 ","18,491,224,811 ","11,574,550,936 ","11,192,299,473 ","3,260,382,060 ","3,000,000 ","78,492,776,804 ","(16,723,868,449)","17,045,203,298 ","61,768,908,355 ","(68,959,333,946)","61,768,908,355 ","3,479,060,373 ","3,479,060,373 ","3,066,435,877 ",48.62 ,0.10 ,0.36 ,(0.53),(62.95),(10.01),(246.57),(174.25),72.75 ,"(1,834,399,203)","1,232,036,674 ",28.98 ,Xây dựng và Bất động sản,31-05-2019
410,DLT,CTCP Du lịch và Thương mại - Vinacomin,UPCOM,"902,041,898,697 ","902,041,898,697 ",,"538,419,574,335 ","509,469,498,259 ","197,373,784,092 ","1,053,877,462,725 ","1,053,877,462,725 ","192,705,955,681 ","152,917,527 ","510,721,914,929 ","59,254,449,183 ","11,705,101,683 ","569,976,364,112 ","6,500,956,335 ","569,976,364,112 ","5,925,626,924 ","5,925,626,924 ","2,758,039,406 ",85.59 ,0.67 ,1.06 ,2.37 ,(14.81),18.28 ,2.49 ,2.14 ,3.83 ,"14,064,487,207 ","16,822,526,613 ",18.44 ,Khai khoáng,16-11-2015
411,DLV,CTCP Du lịch Việt Nam - VITOURS,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất nông nghiệp,02-11-2010
412,DM7,CTCP Dệt May 7,UPCOM,"732,045,963,980 ","732,045,963,980 ","732,045,963,980 ","268,332,803,152 ","212,000,636,168 ","156,862,588,638 ","826,505,825,928 ","826,505,825,928 ","91,860,648,469 ","5,400,000,000 ","212,000,636,168 ","260,121,734,181 ","184,377,875,530 ","472,122,370,349 ","60,856,367,609 ","472,122,370,349 ",,,,88.57 ,0.53 ,1.27 ,0.00 ,(3.36),(13.92),10.07 ,8.04 ,(8.76),"63,471,563,126 ","92,984,774,578 ",(1.81),Sản xuất,15-10-2018
413,DMC,CTCP Xuất nhập khẩu Y Tế Domesco,HOSE,"1,096,779,308,875 ","1,096,779,308,875 ","1,096,779,308,877 ","1,421,755,239,468 ","255,731,769,104 ","348,511,691,189 ","1,567,817,504,900 ","1,498,394,846,590 ","760,049,544,189 ",,"255,819,978,434 ","1,366,031,454,554 ","171,994,440,204 ","1,621,851,432,988 ","159,281,868,295 ","1,621,851,432,988 ",,"(11,759,088,162)","24,146,095,583 ",73.20 ,4.20 ,5.56 ,(15.94),3.20 ,10.78 ,3.85 ,(11.29),(8.40),"187,445,242,319 ","223,350,426,064 ",10.84 ,Sản xuất,25-12-2006
414,DMN,CTCP Domenal,UPCOM,"390,303,259,885 ","390,303,259,885 ",,"310,880,593,849 ","244,351,779,521 ","27,954,413,160 ","408,066,975,500 ","408,066,975,500 ","280,328,041,615 ",,"244,351,779,521 ","135,605,933,663 ","39,256,386,209 ","379,957,713,184 ","9,806,330,645 ","379,957,713,184 ","10,751,585,149 ","10,751,585,149 ","3,973,800,972 ",95.65 ,1.16 ,1.27 ,1.78 ,8.82 ,14.10 ,0.42 ,5.22 ,(4.50),"19,135,611,434 ","23,109,412,406 ",1.46 ,Sản xuất,22-11-2021
415,DNA,CTCP Điện Nước An Giang,UPCOM,"1,576,146,979,806 ","1,576,146,979,806 ","1,575,438,267,175 ","349,874,244,452 ","282,183,037,523 ","46,983,353,222 ","1,923,782,893,830 ","1,923,782,893,830 ","237,741,316,413 ",,"712,370,778,933 ","822,453,139,279 ","1,014,725,561,559 ","1,534,823,918,212 ","124,800,552,647 ","1,534,823,918,212 ","22,188,173,406 ","22,188,173,406 ","94,427,115,807 ",81.93 ,1.07 ,1.24 ,7.25 ,4.21 ,4.28 ,3.81 ,(13.50),0.21 ,"160,773,644,339 ","255,200,760,146 ",7.42 ,Tiện ích,19-10-2017
416,DNB,CTCP Sách và Thiết bị trường học tỉnh Đắk Nông,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán lẻ,25-06-2019
417,DNC,CTCP Điện Nước Lắp máy Hải Phòng,HNX,"521,290,448,160 ","521,290,448,160 ","521,312,710,594 ","67,148,619,193 ","30,384,996,121 ","9,336,320,182 ","567,630,676,354 ","567,630,676,354 ","30,890,466,746 ",,"30,384,996,121 ","83,479,057,012 ","36,320,742,298 ","113,864,053,133 ","30,879,329,818 ","113,864,053,133 ","810,626,390 ","810,626,390 ","5,226,117,261 ",91.84 ,1.90 ,2.21 ,42.18 ,43.20 ,17.15 ,21.43 ,30.34 ,28.85 ,"34,192,589,172 ","39,418,706,433 ",5.89 ,Tiện ích,23-12-2009
418,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,UPCOM,"137,245,237,752 ","137,245,237,752 ",,"53,596,528,734 ","48,873,104,970 ","7,759,617,913 ","160,575,870,905 ","160,575,870,905 ","31,899,194,177 ","7,478,676,350 ","63,644,644,316 ","123,390,146,394 ","23,405,214,378 ","187,034,790,710 ","17,295,726,423 ","187,034,790,710 ","175,246,605 ","175,246,605 ","5,334,083,341 ",85.47 ,0.94 ,1.10 ,60.66 ,(14.43),(4.18),(2.12),(29.71),(17.43),"10,630,555,787 ","15,964,639,128 ",10.46 ,Sản xuất,09-11-2016
419,DNE,CTCP Môi trường Đô thị Đà Nẵng,UPCOM,"230,219,930,294 ","230,219,930,294 ",,"99,217,054,427 ","69,313,529,068 ","2,311,078,839 ","254,578,699,126 ","254,578,699,126 ","57,957,988,774 ","1,417,014,543 ","80,556,563,881 ","76,431,233,526 ","48,306,244,547 ","157,091,097,407 ","9,273,885,218 ","157,091,097,407 ",,,"10,602,184,083 ",90.43 ,1.40 ,1.43 ,0.00 ,(1.93),(0.63),1.61 ,(12.93),(4.50),"12,061,888,645 ","22,664,072,728 ",2.13 ,Tiện ích,05-04-2017
420,DNF,CTCP Lương thực Đà Nẵng,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,06-09-2010
421,DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,UPCOM,"941,619,808,110 ","941,619,808,110 ","936,898,112,110 ","2,170,241,001,990 ","536,294,669,210 ","28,666,796,418 ","2,475,118,748,288 ","2,475,118,748,288 ","599,463,041,941 ","799,932,824,894 ","2,451,901,787,387 ","6,506,785,014,050 ","5,645,125,985,715 ","8,958,686,801,437 ","1,708,493,510,086 ","8,958,686,801,437 ","62,434,528,611 ","62,434,528,611 ","350,101,843,332 ",38.04 ,3.99 ,4.05 ,27.42 ,46.79 ,7.26 ,12.19 ,107.19 ,81.63 ,"1,711,967,635,920 ","2,062,069,479,252 ",56.13 ,Tiện ích,19-06-2017
422,DNL,CTCP Logistics Cảng Đà Nẵng,UPCOM,"184,056,028,072 ","184,056,028,072 ",,"53,725,715,216 ","22,897,368,861 ","2,557,567,654 ","217,879,473,134 ","217,879,473,134 ","38,341,616,314 ",,"23,647,368,861 ","59,853,285,286 ","28,913,396,281 ","83,500,654,147 ","9,886,107,954 ","83,500,654,147 ","337,948,371 ","337,948,371 ","8,018,952,528 ",84.48 ,2.23 ,2.35 ,35.69 ,66.60 ,3.84 ,3.58 ,5.46 ,8.76 ,"12,060,495,241 ","20,079,447,769 ",4.71 ,Vận tải và kho bãi,18-08-2011
423,DNM,Tổng Công ty cổ phần Y tế DANAMECO,HNX,"447,401,846,729 ","447,401,846,729 ","438,560,592,745 ","359,835,138,816 ","283,605,761,108 ","128,755,687,618 ","549,682,218,206 ","546,641,951,319 ","146,309,753,733 ","6,129,870,280 ","377,908,304,965 ","139,775,699,488 ","135,799,246,743 ","519,474,637,121 ","28,145,600,156 ","519,474,637,121 ","23,283,793,823 ","23,283,793,823 ","41,291,113,813 ",81.85 ,0.81 ,1.27 ,2.46 ,(21.99),1.40 ,16.24 ,(27.12),(34.80),"57,164,014,208 ","98,455,128,021 ",6.26 ,Sản xuất,16-02-2011
424,DNN,CTCP Cấp nước Đà Nẵng,UPCOM,"267,325,635,795 ","267,325,635,795 ","267,360,922,768 ","581,095,443,977 ","247,012,634,584 ","42,781,332,653 ","467,306,780,695 ","467,306,780,695 ","46,091,008,849 ","100,000,000 ","703,314,778,158 ","780,172,961,873 ","550,101,843,089 ","1,484,784,654,134 ","126,385,896,704 ","1,484,784,654,134 ","11,664,724,978 ","11,664,724,978 ","69,862,096,570 ",57.21 ,2.18 ,2.35 ,12.73 ,(4.89),14.36 ,7.45 ,(14.91),(14.06),"148,462,321,761 ","218,324,418,331 ",73.20 ,Tiện ích,17-07-2017
425,DNP,CTCP DNP Holding,HNX,"5,249,928,107,677 ","5,249,928,107,677 ","5,356,167,117,003 ","4,760,222,547,773 ","3,661,747,861,544 ","1,251,787,320,381 ","6,315,325,559,458 ","6,237,419,990,687 ","2,675,134,308,174 ","377,030,014,224 ","10,123,836,091,077 ","3,916,171,712,435 ","7,435,634,423,283 ","14,040,007,803,512 ","3,595,714,832 ","14,040,007,803,512 ","522,479,865,588 ","522,479,865,588 ","608,649,524,468 ",84.17 ,0.96 ,1.30 ,1.08 ,89.66 ,44.27 ,42.16 ,31.88 ,71.95 ,"565,954,990,906 ","1,174,604,515,374 ",2.54 ,Sản xuất,29-06-2009
426,DNR,CTCP Đường sắt Quảng Nam - Đà Nẵng,OTC,"163,189,266,624 ","163,189,266,624 ",,"77,494,153,724 ","66,135,208,304 ","12,490,291,381 ","184,195,709,406 ","184,195,709,406 ","51,817,535,746 ",,"66,135,208,304 ","21,385,613,437 ","9,503,659,716 ","87,520,821,741 ","4,119,077,137 ","87,520,821,741 ","177,818,299 ","177,818,299 ","1,096,229,303 ",88.60 ,0.98 ,1.17 ,30.27 ,16.43 ,(15.59),3.37 ,13.43 ,(2.79),"5,382,643,806 ","6,478,873,109 ",6.09 ,Vận tải và kho bãi,24-06-2016
427,DNS,CTCP Thép Đà Nẵng,OTC,"1,595,065,968,340 ","1,595,065,968,340 ","1,595,065,968,340 ","532,793,816,937 ","413,874,720,869 ","380,859,749,014 ","1,754,356,828,450 ","1,754,356,828,450 ","7,598,452,816 ",,"418,171,106,743 ","234,027,566,203 ","88,755,819,863 ","652,198,672,946 ","10,136,566,203 ","652,198,672,946 ","6,874,683,122 ","6,874,683,122 ","17,419,317,806 ",90.92 ,0.37 ,1.29 ,17.69 ,25.01 ,34.94 ,27.10 ,"2,014.01 ",181.02 ,"121,642,708,594 ","139,062,026,400 ",(11.61),Sản xuất,05-04-2010
428,DNT,CTCP Du lịch Đồng Nai,UPCOM,"94,619,428,457 ","94,619,428,457 ",,"37,623,730,954 ","10,549,153,037 ","3,535,717,329 ","118,778,362,919 ","118,778,362,919 ","3,860,048,746 ","3,856,274,000 ","12,879,947,375 ","74,789,458,324 ","27,055,138,021 ","87,669,405,699 ","(3,204,024,641)","87,669,405,699 ","11,342,180 ","11,342,180 ","3,838,574,212 ",79.66 ,3.23 ,3.57 ,(340.74),(40.26),(18.10),(7.32),(150.30),(43.28),"(3,864,689,052)","(26,114,840)",(11.24),Dịch vụ lưu trú và ăn uống,24-02-2020
429,DNW,CTCP Cấp nước Đồng Nai,UPCOM,"702,922,823,143 ","702,922,823,143 ","701,612,387,324 ","710,119,791,548 ","599,761,962,263 ","51,142,832,910 ","1,155,796,335,808 ","1,155,791,380,108 ","83,568,296,375 ",,"1,726,644,726,658 ","2,043,982,305,704 ","2,846,059,235,643 ","3,770,627,032,362 ","530,802,302,248 ","3,770,627,032,362 ","44,481,599,712 ","44,481,599,712 ","279,841,245,690 ",60.82 ,1.10 ,1.18 ,10.61 ,3.60 ,6.23 ,37.00 ,147.97 ,1.14 ,"471,955,729,360 ","751,796,975,050 ",47.30 ,Tiện ích,16-03-2016
430,DNY,CTCP Thép DANA - Ý,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,12-06-2020
431,DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,UPCOM,"302,808,688,823 ","302,808,688,823 ",,"125,030,211,340 ","11,102,901,801 ","48,223,131,029 ","336,507,879,219 ","336,507,879,219 ","25,187,801,328 ",,"11,102,901,801 ","115,299,631,734 ","1,256,361,192 ","126,402,533,535 ","14,731,623,829 ","126,402,533,535 ","12,288,098,556 ","364,634,669 ","493,292,592 ",89.99 ,6.92 ,11.26 ,2.50 ,3.21 ,5.40 ,10.95 ,520.33 ,224.14 ,"30,715,570,820 ","31,208,863,412 ",(1.80),Sản xuất,19-12-2016
432,Donatraco,CTCP Sản xuất Thương mại Dịch vụ Đồng Nai,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán buôn,
433,DOP,CTCP Vận tải Xăng dầu Đồng Tháp,UPCOM,"17,705,392,011 ","17,705,392,011 ",,"15,423,763,094 ","18,309,075,360 ",,"72,339,749,324 ","72,339,749,324 ","5,623,368,197 ",,"24,226,940,758 ","72,476,724,223 ","68,243,429,121 ","96,703,664,981 ","8,920,597,960 ","96,703,664,981 ","1,283,617,574 ","1,283,617,574 ","7,737,150,807 ",24.48 ,0.84 ,0.84 ,7.49 ,1.27 ,1.16 ,(1.66),(11.41),(0.34),"9,618,618,777 ","17,355,769,584 ",14.65 ,Vận tải và kho bãi,30-10-2015
434,DP1,CTCP Dược phẩm Trung ương CPC1,UPCOM,"1,933,822,694,385 ","1,933,822,694,385 ","1,933,822,694,385 ","974,704,260,480 ","867,484,389,549 ","285,420,229,050 ","2,182,419,981,415 ","2,182,419,981,415 ","649,204,694,455 ",,"867,484,389,549 ","264,117,612,219 ","101,496,871,673 ","1,131,602,001,768 ","51,882,620,439 ","1,131,602,001,768 ","21,917,605,875 ","21,917,605,875 ","8,453,871,480 ",88.61 ,0.79 ,1.12 ,3.60 ,6.03 ,(11.15),2.46 ,9.55 ,(10.35),"78,819,787,425 ","87,273,658,905 ",3.39 ,Bán buôn,12-06-2018
435,DP2,CTCP Dược phẩm Trung ương 2,UPCOM,"172,106,734,386 ","172,106,734,386 ","172,106,734,386 ","111,731,769,354 ","206,816,295,897 ","38,103,282,357 ","180,098,000,798 ","179,998,822,069 ","67,668,635,969 ","72,240,000,000 ","353,491,874,209 ","134,151,259,826 ","185,351,486,207 ","487,818,424,035 ","(74,268,206,097)","487,818,424,035 ","12,049,991,039 ",,,95.62 ,0.36 ,0.54 ,(0.49),9.27 ,(7.23),(11.79),(174.06),165.08 ,"(5,878,510,682)","14,410,511,662 ",2.30 ,Sản xuất,19-05-2017
436,DP3,CTCP Dược phẩm Trung ương 3,HNX,"118,993,422,870 ","118,993,422,870 ","117,447,185,586 ","253,724,661,934 ","78,919,942,054 ","65,613,149,683 ","394,473,550,573 ","381,076,928,787 ","25,030,745,802 ",,"78,919,942,054 ","364,872,065,688 ","147,293,098,960 ","443,792,007,742 ","151,248,662,503 ","443,792,007,742 ","449,000,236 ",,,31.23 ,2.38 ,3.21 ,260.44 ,(3.70),0.55 ,5.32 ,(18.52),(4.25),"116,937,018,112 ","128,601,490,146 ",23.02 ,Sản xuất,17-07-2015
437,DPC,CTCP Nhựa Đà Nẵng,HNX,"30,010,522,254 ","30,010,522,254 ","30,010,522,254 ","17,852,661,109 ","10,594,712,688 ","6,370,661,836 ","49,052,806,641 ","48,395,243,688 ","7,955,771,812 ",,"21,706,712,688 ","51,909,894,933 ","1,787,157,655 ","73,616,607,621 ","5,223,941,581 ","73,616,607,621 ","83,219,178 ",,,62.01 ,1.08 ,1.69 ,74.18 ,(27.02),16.20 ,5.79 ,(39.63),(23.80),"6,173,343,435 ","6,566,542,690 ",25.31 ,Sản xuất,10-06-2009
438,DPD,CTCP Cao su Đồng Phú - Đắk Nông,KHÁC,"47,990,834,598 ","47,990,834,598 ","47,990,834,598 ","18,082,860,186 ","22,358,828,463 ","4,173,056,314 ","66,552,289,694 ","66,552,289,694 ","86,976,368 ",,"22,358,828,463 ","130,460,920,767 ","132,092,165,055 ","152,786,704,236 ","10,460,920,767 ","152,786,704,236 ","1,668,676,022 ",,,72.11 ,0.62 ,0.81 ,8.79 ,59.57 ,(5.85),9.95 ,725.12 ,166.89 ,"14,668,966,851 ","22,777,515,043 ",35.12 ,Sản xuất,20-01-2021
439,DPG,CTCP Tập đoàn Đạt Phương,HOSE,"1,670,366,356,209 ","1,670,366,356,209 ","1,670,699,114,765 ","2,628,773,050,855 ","2,432,374,845,116 ","557,207,220,498 ","2,545,455,736,494 ","2,545,455,736,494 ","632,114,881,181 ","43,010,770,426 ","4,168,880,183,689 ","1,781,844,892,014 ","2,427,619,918,196 ","5,950,725,075,703 ","699,360,325,854 ","5,950,725,075,703 ","166,070,016,642 ","166,070,016,642 ","133,513,657,233 ",65.62 ,0.85 ,1.08 ,4.13 ,20.16 ,23.45 ,26.70 ,78.21 ,47.26 ,"685,219,251,375 ","818,732,908,608 ",28.81 ,Xây dựng và Bất động sản,22-05-2018
440,DPH,CTCP Dược phẩm Hải Phòng,UPCOM,"147,462,006,612 ","147,462,006,612 ",,"192,007,431,962 ","43,877,911,175 ","18,294,748,300 ","189,381,434,048 ","189,113,174,366 ","27,951,437,443 ",,"48,071,502,550 ","172,013,656,608 ","12,532,092,670 ","220,085,159,158 ","100,945,493,561 ","220,085,159,158 ","237,704,000 ",,,77.98 ,3.96 ,4.38 ,94.52 ,(6.51),1.57 ,7.97 ,(9.18),(9.44),"22,467,663,519 ","26,791,280,806 ",3.58 ,Sản xuất,20-01-2017
441,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,HOSE,"8,000,602,438,317 ","8,000,602,438,317 ","8,000,602,438,317 ","9,519,579,701,251 ","2,151,651,816,461 ","2,775,533,988,246 ","12,881,680,840,632 ","12,786,141,193,352 ","488,926,629,172 ","849,874,000 ","3,204,770,523,758 ","10,713,159,720,643 ","3,716,965,004,749 ","13,917,930,244,401 ","3,085,566,955,137 ","13,917,930,244,401 ","69,266,472,919 ","69,266,472,919 ","536,986,110,692 ",62.57 ,3.13 ,4.42 ,55.85 ,64.73 ,23.17 ,29.90 ,348.11 ,176.65 ,"3,868,737,695,539 ","4,405,723,806,231 ",19.68 ,Sản xuất,05-11-2007
442,DPP,CTCP Dược Đồng Nai,UPCOM,"307,651,096,275 ","307,651,096,275 ",,"77,039,152,582 ","46,967,007,341 ","50,320,477,716 ","332,481,582,989 ","329,877,606,132 ","23,531,832,217 ",,"47,083,507,341 ","46,147,234,632 ","16,161,703,445 ","93,310,051,110 ","7,712,990,299 ","93,310,051,110 ","415,490,454 ",,,93.26 ,0.57 ,1.64 ,21.46 ,0.34 ,10.25 ,2.33 ,5.79 ,5.17 ,"8,915,571,402 ","11,129,253,177 ",2.60 ,Bán buôn,19-05-2010
443,DPR,CTCP Cao su Đồng Phú,HOSE,"786,532,015,939 ","786,532,015,939 ","781,616,374,407 ","1,618,485,780,193 ","465,458,662,939 ","213,840,783,921 ","1,217,826,616,841 ","1,216,841,125,268 ","54,339,292,629 ","44,606,175,260 ","1,289,937,301,637 ","2,744,404,297,867 ","1,474,581,947,543 ","4,032,489,894,814 ","372,654,110,149 ","4,032,489,894,814 ","4,985,930,163 ","4,985,930,163 ","124,075,926,133 ",64.64 ,3.02 ,3.48 ,116.79 ,6.97 ,6.81 ,17.66 ,114.35 ,34.49 ,"582,330,852,167 ","706,406,778,300 ",58.11 ,Sản xuất,30-11-2007
444,DPS,CTCP Đầu tư Phát triển Sóc Sơn,UPCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán buôn,02-07-2021
445,DQC,CTCP Bóng đèn Điện Quang,HOSE,"511,228,392,918 ","511,228,392,918 ","511,326,163,842 ","914,890,994,533 ","413,887,163,208 ","372,402,158,119 ","749,314,622,206 ","733,831,365,162 ","380,086,984,672 ","7,532,198,985 ","465,720,188,277 ","939,344,157,664 ","358,365,569,790 ","1,410,152,876,407 ","85,353,843,784 ","1,410,152,876,407 ","4,086,828,079 ","4,086,828,079 ","29,047,756,966 ",69.67 ,1.31 ,2.21 ,7.07 ,(21.95),0.04 ,2.31 ,10.59 ,(4.17),"28,885,410,754 ","57,933,167,720 ",(4.90),Sản xuất,21-02-2008
446,DRC,CTCP Cao su Đà Nẵng,HOSE,"3,632,392,425,864 ","3,632,392,425,864 ","3,632,336,545,336 ","2,114,195,151,163 ","1,359,992,836,134 ","1,429,218,154,245 ","4,635,525,403,051 ","4,379,518,236,174 ","208,132,201,825 ","531,198,925 ","1,362,012,584,891 ","1,773,930,499,344 ","975,466,573,368 ","3,135,943,084,235 ","241,476,941,788 ","3,135,943,084,235 ","9,234,767,876 ",,,82.94 ,0.50 ,1.55 ,40.43 ,20.10 ,29.01 ,5.13 ,13.60 ,24.65 ,"373,356,909,921 ","477,082,140,129 ",(1.55),Sản xuất,29-12-2006
447,DRG,CTCP Cao su Đắk Lắk,UPCOM,"1,047,126,158,803 ","1,047,126,158,803 ","1,031,900,033,312 ","476,729,514,075 ","696,442,598,484 ","214,302,747,267 ","1,328,207,840,944 ","1,327,480,490,534 ","69,432,855,777 ","7,827,418,724 ","1,029,967,537,401 ","1,872,823,126,012 ","1,619,665,709,660 ","2,902,790,663,413 ","173,388,407,780 ","2,902,790,663,413 ","48,721,456,063 ","48,721,456,063 ","140,975,919,342 ",78.88 ,0.38 ,0.68 ,4.52 ,44.49 ,(4.80),(1.27),252.31 ,132.74 ,"220,149,279,631 ","361,125,198,973 ",25.06 ,Sản xuất nông nghiệp,11-12-2019
448,DRH,CTCP DRH Holdings,HOSE,"37,866,673,490 ","37,866,673,490 ","33,692,915,802 ","1,748,426,880,610 ","1,862,266,911,213 ","905,165,215,757 ","74,959,981,804 ","74,959,981,804 ","766,828,706,769 ","1,869,324,000 ","1,865,973,081,703 ","858,578,751,062 ","484,582,865 ","2,724,551,832,765 ","229,811,851,499 ","2,724,551,832,765 ","49,650,434,754 ","49,650,434,754 ","2,621,278,731 ",50.52 ,0.45 ,0.94 ,1.39 ,(3.79),8.93 ,0.84 ,(57.83),74.38 ,"69,073,811,226 ","71,695,089,957 ",(3.46),Xây dựng và Bất động sản,26-07-2010
449,DRI,CTCP Đầu tư Cao su Đắk Lắk,UPCOM,"355,200,410,114 ","355,200,410,114 ","346,011,861,795 ","194,451,374,830 ","173,477,214,992 ","82,728,496,616 ","585,739,312,595 ","585,650,443,985 ","25,142,453,822 ","30,000,000,000 ","315,610,558,099 ","711,302,945,528 ","758,080,746,703 ","1,026,913,503,627 ","62,837,312,665 ","1,026,913,503,627 ","20,442,873,608 ","20,442,873,608 ","74,930,566,281 ",60.65 ,0.64 ,1.12 ,6.69 ,32.68 ,(14.92),(7.72),242.12 ,82.49 ,"136,742,961,287 ","211,673,527,568 ",37.88 ,Sản xuất,23-05-2017
